Date,Rainfall,Temperature,Humidity,WeatherType,Month
2024-01-01,23.8,33.4,85.2,Heavy Rainfall,January
2024-01-02,7.4,28.1,74.2,Light Rain,January
2024-01-03,0.0,25.7,76.3,Dry,January
2024-01-04,0.0,30.8,78.3,Dry,January
2024-01-05,25.9,30.6,89.1,Heavy Rainfall,January
2024-01-06,0.0,32.8,72.4,Dry,January
2024-01-07,25.7,34.7,83.8,Heavy Rainfall,January
2024-01-08,1.2,28.5,75.4,Light Rain,January
2024-01-09,27.5,27.5,64.3,Heavy Rainfall,January
2024-01-10,1.1,25.2,61.6,Light Rain,January
2024-01-11,18.5,33.8,82.3,Heavy Rainfall,January
2024-01-12,30.0,25.3,89.4,Heavy Rainfall,January
2024-01-13,0.0,25.2,79.3,Dry,January
2024-01-14,11.2,34.7,79.0,Heavy Rainfall,January
2024-01-15,14.2,34.0,82.5,Heavy Rainfall,January
2024-01-16,5.6,33.5,61.2,Light Rain,January
2024-01-17,21.2,27.1,70.8,Heavy Rainfall,January
2024-01-18,11.3,29.0,61.6,Heavy Rainfall,January
2024-01-19,0.0,31.7,77.5,Dry,January
2024-01-20,24.0,25.4,87.4,Heavy Rainfall,January
2024-01-21,13.1,34.3,82.9,Heavy Rainfall,January
2024-01-22,17.3,32.1,63.7,Heavy Rainfall,January
2024-01-23,20.1,28.7,79.7,Heavy Rainfall,January
2024-01-24,0.0,27.2,79.5,Dry,January
2024-01-25,0.0,26.9,65.5,Dry,January
2024-01-26,18.8,30.7,82.5,Heavy Rainfall,January
2024-01-27,0.0,24.7,66.6,Dry,January
2024-01-28,27.0,27.4,61.6,Heavy Rainfall,January
2024-01-29,10.3,28.7,61.4,Heavy Rainfall,January
2024-01-30,0.0,28.1,74.6,Dry,January
2024-01-31,12.8,32.3,87.1,Heavy Rainfall,January
2024-02-01,0.0,34.1,60.9,Dry,February
2024-02-02,7.9,33.7,60.2,Light Rain,February
2024-02-03,0.0,25.7,69.1,Dry,February
2024-02-04,0.0,31.4,87.9,Dry,February
2024-02-05,2.7,34.4,74.9,Light Rain,February
2024-02-06,3.5,32.4,84.2,Light Rain,February
2024-02-07,23.7,34.5,64.9,Heavy Rainfall,February
2024-02-08,0.0,28.1,66.4,Dry,February
2024-02-09,12.5,29.9,86.7,Heavy Rainfall,February
2024-02-10,0.0,28.7,80.5,Dry,February
2024-02-11,24.0,24.4,60.2,Heavy Rainfall,February
2024-02-12,0.7,34.1,73.2,Light Rain,February
2024-02-13,6.6,31.6,60.1,Light Rain,February
2024-02-14,18.6,33.9,83.3,Heavy Rainfall,February
2024-02-15,0.1,34.1,62.7,Light Rain,February
2024-02-16,17.5,28.5,66.2,Heavy Rainfall,February
2024-02-17,16.6,32.8,71.4,Heavy Rainfall,February
2024-02-18,25.5,34.2,74.5,Heavy Rainfall,February
2024-02-19,16.9,28.7,84.4,Heavy Rainfall,February
2024-02-20,7.6,26.2,88.1,Light Rain,February
2024-02-21,3.9,29.4,75.3,Light Rain,February
2024-02-22,0.0,29.4,85.8,Dry,February
2024-02-23,8.3,25.1,77.8,Light Rain,February
2024-02-24,12.4,26.6,83.7,Heavy Rainfall,February
2024-02-25,4.3,27.0,65.4,Light Rain,February
2024-02-26,0.0,26.6,61.8,Dry,February
2024-02-27,24.0,27.0,66.8,Heavy Rainfall,February
2024-02-28,22.2,24.4,60.4,Heavy Rainfall,February
2024-02-29,0.0,24.1,70.9,Dry,February
2024-03-01,7.4,29.8,63.6,Light Rain,March
2024-03-02,0.0,28.1,78.8,Dry,March
2024-03-03,11.4,30.8,62.2,Heavy Rainfall,March
2024-03-04,1.2,25.1,83.3,Light Rain,March
2024-03-05,10.5,32.6,65.9,Heavy Rainfall,March
2024-03-06,27.8,25.6,82.1,Heavy Rainfall,March
2024-03-07,21.2,25.4,77.6,Heavy Rainfall,March
2024-03-08,4.3,30.7,88.5,Light Rain,March
2024-03-09,27.5,30.1,63.2,Heavy Rainfall,March
2024-03-10,6.8,30.9,80.0,Light Rain,March
2024-03-11,20.5,30.3,61.2,Heavy Rainfall,March
2024-03-12,29.5,25.8,89.8,Heavy Rainfall,March
2024-03-13,23.5,28.4,68.3,Heavy Rainfall,March
2024-03-14,0.2,34.5,61.8,Light Rain,March
2024-03-15,0.0,26.9,76.6,Dry,March
2024-03-16,0.0,28.9,69.5,Dry,March
2024-03-17,20.1,33.9,88.7,Heavy Rainfall,March
2024-03-18,6.0,27.7,88.5,Light Rain,March
2024-03-19,0.0,29.1,78.8,Dry,March
2024-03-20,1.0,33.0,78.9,Light Rain,March
2024-03-21,8.4,34.9,65.2,Light Rain,March
2024-03-22,29.0,33.4,82.1,Heavy Rainfall,March
2024-03-23,12.1,33.9,61.0,Heavy Rainfall,March
2024-03-24,0.0,32.6,69.5,Dry,March
2024-03-25,16.4,33.0,74.8,Heavy Rainfall,March
2024-03-26,11.5,34.9,83.5,Heavy Rainfall,March
2024-03-27,20.6,32.6,84.0,Heavy Rainfall,March
2024-03-28,11.6,24.4,76.7,Heavy Rainfall,March
2024-03-29,7.7,33.7,75.1,Light Rain,March
2024-03-30,0.0,30.3,82.7,Dry,March
2024-03-31,6.0,25.8,78.7,Light Rain,March
2024-04-01,7.5,26.6,75.4,Light Rain,April
2024-04-02,20.7,27.2,68.8,Heavy Rainfall,April
2024-04-03,9.0,29.8,62.7,Light Rain,April
2024-04-04,19.0,26.7,66.9,Heavy Rainfall,April
2024-04-05,0.1,27.8,81.0,Light Rain,April
2024-04-06,2.7,25.4,64.9,Light Rain,April
2024-04-07,0.0,34.3,86.8,Dry,April
2024-04-08,0.6,25.5,85.0,Light Rain,April
2024-04-09,12.7,30.2,75.8,Heavy Rainfall,April
2024-04-10,0.0,24.7,80.5,Dry,April
2024-04-11,17.4,25.6,82.1,Heavy Rainfall,April
2024-04-12,0.0,31.9,87.6,Dry,April
2024-04-13,4.0,26.7,69.6,Light Rain,April
2024-04-14,4.4,24.9,76.3,Light Rain,April
2024-04-15,14.3,29.9,67.4,Heavy Rainfall,April
2024-04-16,15.4,34.0,79.8,Heavy Rainfall,April
2024-04-17,28.1,30.3,74.7,Heavy Rainfall,April
2024-04-18,22.5,34.8,73.4,Heavy Rainfall,April
2024-04-19,0.0,30.8,74.3,Dry,April
2024-04-20,0.0,34.4,73.9,Dry,April
2024-04-21,17.6,24.5,84.3,Heavy Rainfall,April
2024-04-22,0.0,30.8,69.5,Dry,April
2024-04-23,24.9,31.3,65.5,Heavy Rainfall,April
2024-04-24,3.1,34.4,71.9,Light Rain,April
2024-04-25,10.6,24.9,71.9,Heavy Rainfall,April
2024-04-26,0.0,34.9,87.8,Dry,April
2024-04-27,7.9,32.3,65.6,Light Rain,April
2024-04-28,14.9,29.2,88.2,Heavy Rainfall,April
2024-04-29,26.5,29.5,60.2,Heavy Rainfall,April
2024-04-30,0.9,31.0,66.7,Light Rain,April
2024-05-01,26.3,30.1,88.7,Heavy Rainfall,May
2024-05-02,29.6,33.4,85.2,Heavy Rainfall,May
2024-05-03,18.4,31.0,77.8,Heavy Rainfall,May
2024-05-04,4.9,25.9,81.9,Light Rain,May
2024-05-05,24.4,31.8,79.1,Heavy Rainfall,May
2024-05-06,3.7,25.9,62.4,Light Rain,May
2024-05-07,6.1,33.9,77.7,Light Rain,May
2024-05-08,16.3,34.1,78.1,Heavy Rainfall,May
2024-05-09,29.9,32.4,68.6,Heavy Rainfall,May
2024-05-10,25.1,34.4,84.6,Heavy Rainfall,May
2024-05-11,21.2,26.4,82.6,Heavy Rainfall,May
2024-05-12,0.0,34.7,72.5,Dry,May
2024-05-13,22.1,34.6,85.0,Heavy Rainfall,May
2024-05-14,28.0,28.2,74.7,Heavy Rainfall,May
2024-05-15,3.8,32.6,87.3,Light Rain,May
2024-05-16,0.0,32.6,78.9,Dry,May
2024-05-17,28.0,28.3,67.8,Heavy Rainfall,May
2024-05-18,14.3,28.3,79.7,Heavy Rainfall,May
2024-05-19,25.4,28.5,76.7,Heavy Rainfall,May
2024-05-20,25.2,31.0,81.7,Heavy Rainfall,May
2024-05-21,4.3,29.6,84.7,Light Rain,May
2024-05-22,25.7,27.0,83.2,Heavy Rainfall,May
2024-05-23,0.0,27.7,63.1,Dry,May
2024-05-24,25.6,27.6,81.1,Heavy Rainfall,May
2024-05-25,23.2,33.7,83.0,Heavy Rainfall,May
2024-05-26,27.5,28.2,87.5,Heavy Rainfall,May
2024-05-27,29.5,31.8,73.4,Heavy Rainfall,May
2024-05-28,13.8,34.8,80.9,Heavy Rainfall,May
2024-05-29,10.1,28.2,62.2,Heavy Rainfall,May
2024-05-30,24.7,24.2,62.2,Heavy Rainfall,May
2024-05-31,11.2,26.6,83.8,Heavy Rainfall,May
2024-06-01,29.0,25.4,80.7,Heavy Rainfall,June
2024-06-02,0.0,25.1,67.5,Dry,June
2024-06-03,21.1,32.3,64.7,Heavy Rainfall,June
2024-06-04,25.5,27.9,66.0,Heavy Rainfall,June
2024-06-05,2.4,33.8,66.3,Light Rain,June
2024-06-06,0.0,32.7,88.3,Dry,June
2024-06-07,0.0,31.7,80.8,Dry,June
2024-06-08,15.2,30.0,77.9,Heavy Rainfall,June
2024-06-09,12.7,31.9,65.7,Heavy Rainfall,June
2024-06-10,4.3,26.7,86.4,Light Rain,June
2024-06-11,29.6,24.9,72.2,Heavy Rainfall,June
2024-06-12,0.0,32.8,83.8,Dry,June
2024-06-13,21.0,27.8,69.7,Heavy Rainfall,June
2024-06-14,10.6,33.2,65.2,Heavy Rainfall,June
2024-06-15,10.8,34.2,80.4,Heavy Rainfall,June
2024-06-16,2.9,24.1,85.7,Light Rain,June
2024-06-17,0.0,24.1,68.2,Dry,June
2024-06-18,5.8,31.6,73.2,Light Rain,June
2024-06-19,19.9,33.3,74.0,Heavy Rainfall,June
2024-06-20,0.0,29.2,68.0,Dry,June
2024-06-21,3.8,25.8,81.0,Light Rain,June
2024-06-22,13.7,30.5,63.3,Heavy Rainfall,June
2024-06-23,2.4,28.1,66.6,Light Rain,June
2024-06-24,11.3,28.2,73.0,Heavy Rainfall,June
2024-06-25,5.3,34.8,67.9,Light Rain,June
2024-06-26,0.0,30.9,61.0,Dry,June
2024-06-27,11.3,27.7,83.3,Heavy Rainfall,June
2024-06-28,0.0,31.2,77.2,Dry,June
2024-06-29,7.3,31.9,73.9,Light Rain,June
2024-06-30,0.0,31.2,76.8,Dry,June
